,naam,seasonyear,2050hoog,2050laag,2100hoog,2100laag
0,ijsdagen,ANN,2050Ld,2050Hn,2100Ld,2100Hn
1,pr_days15.0mm,ANN,2050Hn,2050Hd,2100Hn,2100Ld
2,pr_days25.0mm,ANN,2050Hn,2050Ld,2100Hn,2100Ld
3,pr_sum,ANN,2050Hn,2050Hd,2100Hn,2100Hd
4,pr_sum,DJF,2050Hn,2050Ld,2100Hn,2100Ld
5,pr_sum,MAM,2050Hn,2050Hd,2100Hn,2100Ld
6,pr_sum,JJA,2050Ln,2050Hd,2100Ln,2100Hd
7,pr_sum,SON,2050Hn,2050Hd,2100Hn,2100Hd
8,tas_mean,ANN,2050Hd,2050Ln,2100Hd,2100Ln
9,tas_mean,DJF,2050Hn,2050Ld,2100Hn,2100Ld
10,tas_mean,MAM,2050Hd,2050Ln,2100Hd,2100Ln
11,tas_mean,JJA,2050Hd,2050Ln,2100Hd,2100Ln
12,tas_mean,SON,2050Hd,2050Ln,2100Hd,2100Ln
13,tropdagen,ANN,2050Hd,2050Ln,2100Hd,2100Ln
14,tropnachten,ANN,2050Hd,2050Ln,2100Hd,2100Ln
15,vorstdagen,ANN,2050Ln,2050Hn,2100Ln,2100Hn
16,warmedagen,ANN,2050Hd,2050Ln,2100Hd,2100Ln
17,zomerdagen,ANN,2050Hd,2050Ln,2100Hd,2100Ln
18,cdd,ANN,2050Hd,2050Ln,2100Hd,2100Ln
19,hdd,ANN,2050Ln,2050Hd,2100Ln,2100Hd
20,tasmax_mean,DJF,2050Hn,2050Ld,2100Hn,2100Ld
21,tasmax_mean,MAM,2050Hd,2050Ln,2100Hd,2100Ln
22,tasmax_mean,JJA,2050Hd,2050Ln,2100Hd,2100Ln
23,tasmax_mean,SON,2050Hd,2050Ln,2100Hd,2100Ln
24,tasmax_mean,ANN,2050Hd,2050Ln,2100Hd,2100Ln
25,tasmin_mean,DJF,2050Hn,2050Ld,2100Hn,2100Ld
26,tasmin_mean,MAM,2050Hd,2050Ln,2100Hd,2100Ln
27,tasmin_mean,JJA,2050Hd,2050Ln,2100Hd,2100Ln
28,tasmin_mean,SON,2050Hd,2050Ln,2100Hd,2100Ln
29,tasmin_mean,ANN,2050Hd,2050Ln,2100Hd,2100Ln
30,lengte_groeiseizoen,ANN,2050Hd,2050Ld,2100Hd,2100Ld
31,35gradendagen,ANN,2050Hd,2050Ln,2100Hd,2100Ln
32,pet_sum,ANN,2050Hd,2050Hn,2100Hd,2100Ln
33,reeks_zomerdagen,ANN,2050Hd,2050Ln,2100Hd,2100Ln
34,reeksdrogedagen,ANN,2050Ld,2050Hn,2100Hd,2100Ln
35,neerslagtekort,ANN,2050Hd,2050Ln,2100Hd,2100Ln
